linguagem,qtd_repos,ano
ruby,7483,2008
ruby,27297,2010
ruby,95859,2012
ruby,179927,2014
ruby,212180,2016
ruby,217054,2018
ruby,547792,2020
ruby,186781,2022
ruby,84530,2023
